"filename", "language", "C++", "CMake", "Dart", "JSON", "YAML", "Markdown", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\text\Sproduct_price.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\text\product_tile_text.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\text\s.brand.title.text.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 3, 37
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\text\section_heading.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Profesional Flutter project Structure\s_store\lib\data\repository\repository.authentication\authentication_repository.dart", "Dart", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 8, 8, 108
"d:\Profesional Flutter project Structure\s_store\lib\data\repository\user\user_repository.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers.onboarding\network\network_manger.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 12, 61
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers.onboarding\onboarding.controller.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 13, 6, 55
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers.onboarding\signUp\sign_up_controller .dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 5, 5, 89
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers.onboarding\signUp\verify.email.controller.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 6, 73
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\models\user_model.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 11, 79
